,b1,b2,b3,bp,cta,age,sex
nisl@adipiscingelit.org,2,1,16,12,9,48,1
dui.Fusce.diam@non.edu,1,0,25,8,6,41,2
nisl.Maecenas@vitaeorciPhasellus.org,2,2,23,11,4,50,1
justo.nec@Aenean.edu,3,1,4,12,11,34,2
neque.Morbi.quis@AeneanmassaInteger.ca,2,2,29,10,2,59,1
elit@erat.org,3,1,16,6,13,57,1
non.arcu.Vivamus@montesnasceturridiculus.net,1,1,26,7,7,58,1
Proin.sed@sit.co.uk,1,2,13,9,4,64,1
auctor@odioEtiam.ca,1,0,23,10,12,58,2
Mauris.non.dui@nisia.co.uk,1,2,11,1,11,23,1
turpis.In.condimentum@Sedeget.co.uk,2,2,8,5,8,36,1
malesuada.fringilla.est@velit.co.uk,1,1,28,11,5,39,1
orci@Sedauctor.co.uk,3,2,16,12,11,64,2
lobortis@magnaNamligula.edu,1,1,25,9,7,14,1
urna.Ut.tincidunt@semperpretium.co.uk,3,1,18,6,9,34,2
egestas.ligula@posuerecubiliaCurae.com,1,0,22,7,16,59,1
sagittis.felis.Donec@sociisnatoque.ca,2,2,5,8,16,26,2
arcu.iaculis@Duisac.ca,1,1,10,9,15,41,2
eu.erat@acmetus.com,2,2,21,1,16,26,2
ipsum.ac.mi@lacus.org,3,2,4,4,7,39,2
purus.sapien@lorem.ca,2,2,30,5,17,25,2
semper@etmalesuadafames.ca,1,2,25,12,5,13,1
natoque.penatibus.et@Nullamscelerisque.ca,1,1,18,3,5,64,1
dictum@erosNam.ca,2,0,23,3,1,50,1
egestas.Aliquam.nec@Nullamutnisi.org,3,1,22,6,8,47,2
nisl.Maecenas.malesuada@a.ca,3,2,2,10,4,48,2
neque.vitae.semper@Mauris.org,1,2,29,2,1,52,1
Nunc.sed.orci@nisi.co.uk,3,0,22,11,5,33,1
ut@adipiscing.com,3,1,5,2,2,21,2
sit@egestas.co.uk,3,0,21,7,2,38,2
Quisque.imperdiet.erat@posuere.org,2,0,13,4,12,21,2
litora@ultriciesornare.ca,1,1,13,1,3,30,2
Integer.sem.elit@sitametante.com,2,0,30,10,4,62,2
ultricies.ornare.elit@odioauctor.net,3,0,30,4,5,15,1
in.dolor@magnisdis.net,1,2,14,1,8,66,2
luctus.et@sed.ca,2,2,15,4,13,18,2
Mauris@vestibulumneque.edu,2,2,30,9,14,58,2
Aliquam@sapienimperdietornare.ca,1,1,16,2,8,58,2
iaculis@ornareegestas.co.uk,1,2,12,2,18,27,2
nonummy.ac@tellus.net,1,0,25,6,12,48,2
vel@anteVivamusnon.co.uk,3,1,17,8,7,34,2
parturient.montes@Duiselementum.com,3,1,21,12,3,37,2
diam.lorem@lobortisClassaptent.co.uk,1,2,3,11,9,23,2
et@Cras.org,2,1,8,10,14,35,1
sed.sem.egestas@augueutlacus.edu,1,2,16,12,15,17,2
cursus.a@mollisnon.co.uk,2,2,2,3,6,67,2
risus@mi.net,3,0,23,2,7,27,1
enim.Nunc.ut@nonmassa.co.uk,1,0,28,5,9,56,1
Morbi.neque.tellus@milaciniamattis.org,1,0,13,2,16,53,1
nulla.Donec.non@Fuscealiquetmagna.org,1,1,5,6,2,62,1
pharetra.Quisque@orciluctus.edu,3,2,11,4,12,42,2
Quisque@vitaeerat.com,1,2,15,2,4,58,2
augue.eu@dictumauguemalesuada.net,1,1,12,12,14,43,1
Cras.dictum@nulla.net,2,2,19,5,5,37,1
